"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1965,97,"AFortas",-1.332,0.267,-1.323,-1.894,-0.83
1966,97,"AFortas",-1.514,0.224,-1.508,-1.975,-1.098
1967,97,"AFortas",-1.355,0.225,-1.346,-1.824,-0.938
1968,97,"AFortas",-1.099,0.283,-1.088,-1.694,-0.581
1962,96,"AJGoldberg",-1.154,0.225,-1.145,-1.608,-0.732
1963,96,"AJGoldberg",-1.288,0.206,-1.284,-1.707,-0.908
1964,96,"AJGoldberg",-0.787,0.257,-0.776,-1.328,-0.315
1987,106,"AMKennedy",1.223,0.281,1.213,0.702,1.788
1988,106,"AMKennedy",1.485,0.229,1.478,1.052,1.95
1989,106,"AMKennedy",1.354,0.217,1.352,0.944,1.796
1990,106,"AMKennedy",1.2,0.217,1.197,0.776,1.636
1991,106,"AMKennedy",0.85,0.203,0.848,0.461,1.253
1992,106,"AMKennedy",1.033,0.216,1.029,0.626,1.473
1993,106,"AMKennedy",0.874,0.217,0.871,0.452,1.302
1994,106,"AMKennedy",0.851,0.212,0.849,0.439,1.274
1995,106,"AMKennedy",0.746,0.209,0.742,0.342,1.161
1996,106,"AMKennedy",0.84,0.212,0.833,0.429,1.27
1997,106,"AMKennedy",0.827,0.222,0.827,0.395,1.267
1998,106,"AMKennedy",0.953,0.227,0.949,0.515,1.414
1999,106,"AMKennedy",1.092,0.225,1.089,0.669,1.557
2000,106,"AMKennedy",0.971,0.22,0.963,0.558,1.417
2001,106,"AMKennedy",1.059,0.23,1.054,0.617,1.527
2002,106,"AMKennedy",0.902,0.241,0.898,0.44,1.384
2003,106,"AMKennedy",0.771,0.222,0.769,0.335,1.223
2004,106,"AMKennedy",0.541,0.22,0.539,0.11,0.977
2005,106,"AMKennedy",0.501,0.221,0.498,0.081,0.929
2006,106,"AMKennedy",0.461,0.202,0.458,0.075,0.858
2007,106,"AMKennedy",0.412,0.219,0.413,-0.019,0.844
2008,106,"AMKennedy",0.579,0.2,0.576,0.196,0.988
2009,106,"AMKennedy",0.522,0.214,0.521,0.12,0.963
2010,106,"AMKennedy",0.587,0.214,0.585,0.176,1.015
2011,106,"AMKennedy",0.307,0.212,0.307,-0.112,0.728
2012,106,"AMKennedy",0.253,0.209,0.256,-0.157,0.674
2013,106,"AMKennedy",0.075,0.23,0.075,-0.378,0.524
2014,106,"AMKennedy",-0.219,0.213,-0.218,-0.638,0.18
2015,106,"AMKennedy",-0.262,0.23,-0.259,-0.725,0.19
2016,106,"AMKennedy",-0.043,0.234,-0.048,-0.49,0.428
2017,106,"AMKennedy",0.407,0.232,0.406,-0.042,0.866
1986,105,"AScalia",1.392,0.233,1.381,0.97,1.871
1987,105,"AScalia",1.641,0.244,1.637,1.182,2.144
1988,105,"AScalia",1.812,0.257,1.802,1.337,2.343
1989,105,"AScalia",1.991,0.277,1.983,1.484,2.551
1990,105,"AScalia",2.149,0.305,2.138,1.584,2.77
1991,105,"AScalia",2.511,0.314,2.503,1.923,3.138
1992,105,"AScalia",2.555,0.347,2.546,1.91,3.268
1993,105,"AScalia",2.651,0.367,2.641,1.946,3.398
1994,105,"AScalia",2.897,0.387,2.892,2.166,3.699
1995,105,"AScalia",3.181,0.399,3.166,2.446,4.01
1996,105,"AScalia",3.404,0.407,3.386,2.641,4.253
1997,105,"AScalia",3.48,0.422,3.467,2.7,4.355
1998,105,"AScalia",3.455,0.431,3.437,2.657,4.34
1999,105,"AScalia",3.537,0.43,3.524,2.746,4.422
2000,105,"AScalia",3.535,0.42,3.521,2.748,4.396
2001,105,"AScalia",3.382,0.422,3.375,2.577,4.246
2002,105,"AScalia",3.091,0.423,3.074,2.294,3.97
2003,105,"AScalia",2.927,0.41,2.918,2.166,3.775
2004,105,"AScalia",2.727,0.403,2.712,1.973,3.539
2005,105,"AScalia",2.636,0.401,2.617,1.868,3.459
2006,105,"AScalia",2.608,0.38,2.595,1.892,3.369
2007,105,"AScalia",2.458,0.364,2.445,1.78,3.209
2008,105,"AScalia",2.342,0.356,2.327,1.666,3.057
2009,105,"AScalia",2.312,0.343,2.307,1.665,3
2010,105,"AScalia",2.145,0.347,2.14,1.509,2.861
2011,105,"AScalia",2.072,0.336,2.062,1.438,2.756
2012,105,"AScalia",1.752,0.331,1.738,1.134,2.445
2013,105,"AScalia",1.624,0.35,1.612,0.987,2.363
2014,105,"AScalia",1.548,0.363,1.529,0.896,2.335
2015,105,"AScalia",1.621,0.458,1.609,0.753,2.55
2018,116,"BMKavanaugh",0.568,0.271,0.562,0.05,1.123
2019,116,"BMKavanaugh",0.513,0.271,0.511,-0.005,1.074
1937,77,"BNCardozo",-1.585,0.62,-1.526,-2.902,-0.504
1961,95,"BRWhite",-0.335,0.29,-0.331,-0.908,0.224
1962,95,"BRWhite",-0.305,0.166,-0.302,-0.629,0.022
1963,95,"BRWhite",-0.219,0.145,-0.217,-0.509,0.063
1964,95,"BRWhite",-0.253,0.181,-0.25,-0.606,0.106
1965,95,"BRWhite",-0.2,0.168,-0.201,-0.533,0.129
1966,95,"BRWhite",-0.017,0.149,-0.015,-0.309,0.271
1967,95,"BRWhite",0.248,0.139,0.247,-0.021,0.516
